mammal,threatened_status,body_size,plant_species,family,native_introduced,fleshy_dry,dehiscent_indehiscent,number_s_per_f,s_width,f_width,citations
Lagothrix lagothricha,T,S,Ficus nymphaeifolia,Moraceae,N,F,I,350,1,23,"Stevenson 2000, Stevenson 2002, Stevenson 2011, Stevenson 2007"
Lagothrix lagothricha,T,S,Coussapoa orthoneura,Urticaceae,N,F,I,64.10277778,1.15,10,"Stevenson 2000, Stevenson 2011, Stevenson 2007"
Lagothrix lagothricha,T,S,Cecropia sciadophylla,Urticaceae,N,F,I,1950,1.157142857,15,"Stevenson 2000, Stevenson 2002, Stevenson 2011, Stevenson 2007, Stevenson 1997, Gonzalez 2014, Echeverry 2020"
Lagothrix lagothricha,T,S,Ficus gomelleira,Moraceae,N,F,I,100,1.208333333,19.28571429,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Cecropia engleriana,Urticaceae,N,F,I,1636.285714,1.3,10.41666667,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Ficus insipida,Moraceae,N,F,I,119.3548387,1.4,24.02061856,"Stevenson 2000, Stevenson 2002, Stevenson 2007"
Lagothrix lagothricha,T,S,Apeiba aspera,Malvaceae,N,D,D,167,1.627272727,42.33333333,"Stevenson 2000, Stevenson 2002, Stevenson 2004 ,Stevenson 2005, Stevenson 2007"
Lagothrix lagothricha,T,S,Souroubea sympetala ,Marcgraviaceae,N,F,D,19.3111111,1.65,18,Stevenson 2000
Lagothrix lagothricha,T,S,Cecropia membranacea,Urticaceae,N,F,I,3660,1.841666667,4.966666667,"Stevenson 2000, Stevenson 2011, Stevenson 2004, Stevenson 2007"
Lagothrix lagothricha,T,S,Coussapoa villosa,Urticaceae,N,F,I,160,1.9,24.2,Stevenson 2000
Lagothrix lagothricha,T,S,Hyeronima alchorneoides,Phyllanthaceae,N,F,I,1,2,4.410810811,"Stevenson 2000, Stevenson 2002, Stevenson 2004, Stevenson 1997, Echeverry 2020, Gonzalez 2014"
Lagothrix lagothricha,T,S,Cestrum racemosum,Solanaceae,N,F,I,5,2.2,4.833333333,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Laetia corymbulosa,Salicaceae,N,F,I,21,2.210055866,12.3,"Stevenson 2000, Stevenson 2011, Stevenson 2004, Stevenson 2005, Stevenson 2007"
Lagothrix lagothricha,T,S,Laetia procera,Salicaceae,N,F,I,15,2.25,4.192105263,Stevenson 2007
Lagothrix lagothricha,T,S,Clusia palmicida,Clusiaceae,N,F,D,NA,2.496,36.9,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Hedyosmum cuatrecazanum,Chloranthaceae,N,F,I,5,2.75,8.183333333,"Ramirez 2013, Ramirez 2014"
Lagothrix lagothricha,T,S,Hieronyma oblonga,Phyllanthaceae,I,F,I,1,2.85,4,Gonzalez 2014
Lagothrix lagothricha,T,S,Trichostigma octandra,Phytolaccaceae,N,F,I,1,3.3,6,Stevenson 2000
Lagothrix lagothricha,T,S,Cissus sicyoides ,Vitaceae,N,F,I,1,3.5,3.936842105,"Stevenson 1997, Stevenson 2000"
Lagothrix lagothricha,T,S,Pseudolmedia rigida,Moraceae,N,F,I,NA,3.5,5.5,Gonzalez 2014
Lagothrix lagothricha,T,S,Rollinia dolichopetala,Annonaceae,N,F,I,NA,3.7488,21.25,Ramirez 2013
Lagothrix lagothricha,T,S,Jacaratia digitata,Caricaceae,N,F,I,206,3.75,45,"Stevenson 2000, Stevenson 2004, Stevenson 2005, Echeverry 2020"
Lagothrix lagothricha,T,S,Neea laxa,Nyctaginaceae,N,F,I,1,4,NA,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Chrysophyllum amazonicum,Sapotaceae,N,F,I,NA,4,20.1,Gonzalez 2014
Lagothrix lagothricha,T,S,Touroulia amazonica,Ochnaceae,N,F,I,NA,4,17,Gonzalez 2014
Lagothrix lagothricha,T,S,Dendropanax caucanus,Araliaceae,N,F,I,4.344444445,4.05,10,Stevenson 2000
Lagothrix lagothricha,T,S,Cissus trianae,Vitaceae,N,F,I,3,4.3,4.405660377,"Ramirez 2013, Ramirez 2014"
Lagothrix lagothricha,T,S,Naucleopsis ulei,Moraceae,N,F,I,NA,4.468421053,37.5,Gonzalez 2014
Lagothrix lagothricha,T,S,Passiflora involucrata,Passifloraceae,N,F,I,285,4.5,45,Stevenson 2000
Lagothrix lagothricha,T,S,Inga thibaudiana,Leguminosae,N,F,I,16.03174603,4.8,18.75,"Stevenson 2000, Gonzalez 2014"
Lagothrix lagothricha,T,S,Casearia macrocarpa,Salicaceae,I,F,D,4,4.809090909,15.16,"Ramirez 2014, Ramirez 2013"
Lagothrix lagothricha,T,S,Enterolobium schomburgkii,Fabaceae,N,D,I,7.291666667,4.85,26.66666667,"Stevenson 2011, Stevenson 2007"
Lagothrix lagothricha,T,S,Guatteria punctata,Annonaceae,N,F,I,1,4.925,8,Stevenson 2000
Lagothrix lagothricha,T,S,Trichilia micrantha ,Meliaceae,N,D,D,1,5,4.5,Stevenson 2000
Lagothrix lagothricha,T,S,Sapium stylare,Euphorbiaceae,N,D,D,3,5,10.89075,"Ramirez 2013, Ramirez 2014"
Lagothrix lagothricha,T,S,Sorocea steinbachii,Moraceae,N,F,I,1,5,10.5,Angarita 2002
Lagothrix lagothricha,T,S,Eugenia florida,Myrtaceae,N,F,I,1.5,5,3.9,"Stevenson 2000, Gonzalez 2014"
Lagothrix lagothricha,T,S,Rollinia mucosa ,Annonaceae,N,F,I,92,5,100,Stevenson 2000
Lagothrix lagothricha,T,S,Celtis schippii,Cannabaceae,N,F,I,1,5.15,8.75,Stevenson 2000
Lagothrix lagothricha,T,S,Perebea xanthochyma,Moraceae,N,F,I,2.571428571,5.164285714,13.72142857,"Stevenson 2000, Gonzalez 2014, Yumoto 1999"
Lagothrix lagothricha,T,S,Tapirira guianensis,Anacardiaceae,N,F,I,1,5.171428571,7.916666667,"Stevenson 2000, Gonzalez 2014"
Lagothrix lagothricha,T,S,Virola elongata,Myristicaceae,N,F,D,1,5.173684211,11.65,"Stevenson 2000, Echeverry 2020, Gonzalez 2014"
Lagothrix lagothricha,T,S,Coccoloba mollis,Polygonaceae,N,F,I,1,5.3,12,Stevenson 2000
